stu_no,q1_accuracy,q1_score_pct,q1_avg_time_sec,q1_easy_accuracy,q1_medium_accuracy,q1_hard_accuracy,q1_slow_wrong_ratio,q1_fast_wrong_ratio,q1_num_topics_below_50pct,q1_weakest_topic_score,q1_topic_Algorithm_Design,q1_topic_Arrays,q1_topic_Code_Tracing,q1_topic_Conditional_Statements,q1_topic_Data_Types,q1_topic_Debugging,q1_topic_Expressions,q1_topic_Flowcharts_and_Algorithms,q1_topic_Functions,q1_topic_Input_and_Output,q1_topic_Loops,q1_topic_Nested_Loops,q1_topic_Operators,q1_topic_Strings,q1_topic_Variables_and_Identifiers,q2_accuracy,q2_score_pct,q2_avg_time_sec,q2_easy_accuracy,q2_medium_accuracy,q2_hard_accuracy,q2_slow_wrong_ratio,q2_fast_wrong_ratio,q2_num_topics_below_50pct,q2_weakest_topic_score,q2_topic_Arrays_2D,q2_topic_Classes_and_Objects,q2_topic_Complexity_Analysis,q2_topic_Debugging_Advanced,q2_topic_Exception_Handling,q2_topic_File_Handling,q2_topic_Functions,q2_topic_Inheritance,q2_topic_Loops,q2_topic_OOP_Basics,q2_topic_Pointers_and_References,q2_topic_Recursion,q2_topic_Searching_Algorithms,q2_topic_Sorting_Algorithms,q2_topic_Strings_Advanced,q3_accuracy,q3_score_pct,q3_avg_time_sec,q3_easy_accuracy,q3_medium_accuracy,q3_hard_accuracy,q3_slow_wrong_ratio,q3_fast_wrong_ratio,q3_num_topics_below_50pct,q3_weakest_topic_score,q3_topic_Abstract_Classes,q3_topic_Algorithm_Patterns,q3_topic_Code_Optimisation,q3_topic_Debugging_Complex,q3_topic_Design_Patterns,q3_topic_Dynamic_Programming,q3_topic_Graphs_Basics,q3_topic_Interfaces,q3_topic_Linked_Lists,q3_topic_OOP_Advanced,q3_topic_Polymorphism,q3_topic_Problem_Decomposition,q3_topic_Stack_and_Queue,q3_topic_Testing_Basics,q3_topic_Trees_Basics,trend_q1_q2,trend_q2_q3,trend_q1_q3,final_mark,final_grade,passed,risk_label
STU0160,0.7,70.0,46.37,0.7,0.75,0.625,0.2,0.0,3,0.0,1.0,0.6667,0.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.0,0.6667,0.5,1.0,0.6667,1.0,0.5667,56.67,79.2,0.8,0.6364,0.4286,0.3,0.0,2,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.6667,0.3333,1.0,0.5667,56.67,71.6,0.8,0.6364,0.4286,0.2,0.0,4,0.0,1.0,0.5,0.0,1.0,0.5,0.6667,1.0,0.0,0.3333,0.5,0.5,1.0,0.5,1.0,0.3333,-13.329999999999998,0.0,-13.329999999999998,66,B,1,Low
STU0161,0.6667,66.67,42.23,0.8,0.6667,0.5,0.2333,0.0,3,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6667,0.5,0.6333,63.33,64.63,0.6,0.3636,0.8571,0.1333,0.0,4,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.3333,0.6667,1.0,0.4333,43.33,73.7,0.8,0.5455,0.2143,0.4333,0.0,7,0.0,0.0,0.5,0.0,0.0,0.0,0.6667,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.3333,-3.3400000000000034,-20.0,-23.340000000000003,47,C-,0,High
STU0162,0.3333,33.33,50.47,0.8,0.1667,0.0,0.5333,0.0,9,0.0,0.0,0.3333,0.0,0.5,0.5,0.0,0.0,1.0,0.6667,0.0,0.3333,0.0,0.5,0.3333,0.5,0.4667,46.67,76.23,0.8,0.3636,0.4286,0.3333,0.0,6,0.0,1.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.3667,36.67,80.93,0.4,0.4545,0.2857,0.2667,0.0,8,0.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.3333,13.340000000000003,-10.0,3.3400000000000034,44,D+,0,High
STU0163,0.5,50.0,43.33,0.6,0.5,0.375,0.3,0.0,5,0.0,0.0,0.3333,0.5,0.5,0.0,0.5,1.0,1.0,0.6667,0.0,0.6667,1.0,0.5,0.3333,0.5,0.6333,63.33,72.5,0.8,0.5455,0.6429,0.2,0.0,4,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,0.6667,1.0,1.0,0.6667,66.67,69.97,0.8,0.6364,0.6429,0.2333,0.0,3,0.0,1.0,1.0,0.5,0.5,0.5,0.3333,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.6667,13.329999999999998,3.3400000000000034,16.67,73,B+,1,Low
STU0164,0.2667,26.67,66.23,0.5,0.0833,0.25,0.5333,0.0,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.0,0.3333,0.5,0.5,0.3333,0.5,0.4333,43.33,74.13,0.4,0.1818,0.6429,0.2667,0.0,7,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.5,0.4,40.0,82.33,0.4,0.4545,0.3571,0.3333,0.0,7,0.0,0.0,0.5,0.0,0.5,0.0,0.6667,0.5,1.0,0.3333,0.5,0.0,1.0,0.0,0.0,0.6667,16.659999999999997,-3.3299999999999983,13.329999999999998,32,E,0,High
STU0165,0.9,90.0,38.83,1.0,1.0,0.625,0.1,0.0,1,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8333,83.33,65.4,0.8,0.7273,0.9286,0.1,0.0,1,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.6667,1.0,1.0,0.8667,86.67,69.73,0.6,1.0,0.8571,0.0667,0.0,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,-6.670000000000002,3.3400000000000034,-3.3299999999999983,87,A+,1,Low
STU0166,0.4667,46.67,50.87,0.9,0.3333,0.125,0.4333,0.0,5,0.0,0.0,0.3333,0.5,0.5,0.5,0.5,1.0,0.0,0.6667,1.0,0.3333,0.0,0.5,0.6667,0.5,0.4667,46.67,76.3,0.4,0.5455,0.4286,0.2,0.0,4,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.6667,0.6667,0.5,0.4333,43.33,78.8,0.2,0.3636,0.5714,0.3,0.0,6,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.6667,0.0,-3.3400000000000034,-3.3400000000000034,51,C,1,Medium
STU0167,0.9667,96.67,36.97,1.0,1.0,0.875,0.0333,0.0,0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.9,90.0,70.53,0.6,1.0,0.9286,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,0.5,0.9333,93.33,74.27,1.0,1.0,0.8571,0.0333,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.670000000000002,3.3299999999999983,-3.3400000000000034,95,A+,1,Low
STU0168,0.4667,46.67,57.1,0.6,0.5,0.25,0.3667,0.0,7,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.3333,0.0,1.0,0.5,1.0,0.3333,0.5,0.4,40.0,76.47,0.4,0.4545,0.3571,0.3,0.0,7,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.3333,0.6667,0.5,0.5667,56.67,67.47,0.8,0.7273,0.3571,0.2667,0.0,6,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-6.670000000000002,16.67,10.0,55,C+,1,Medium
STU0169,0.8667,86.67,40.03,1.0,0.8333,0.75,0.1,0.0,0,0.5,1.0,0.6667,1.0,0.5,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,1.0,1.0,0.8667,86.67,72.43,0.8,0.7273,1.0,0.0333,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,0.5,0.8667,86.67,72.2,0.8,1.0,0.7857,0.1,0.0,1,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,76,A-,1,Low
STU0170,0.4,40.0,50.13,0.4,0.5,0.25,0.3333,0.0,8,0.0,1.0,0.3333,0.0,0.5,1.0,1.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.5,0.3333,0.5,0.3333,33.33,68.5,0.4,0.0909,0.5,0.3333,0.0,9,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.3333,0.3333,0.0,0.4333,43.33,71.9,0.4,0.4545,0.4286,0.2667,0.0,8,0.0,0.0,1.0,1.0,0.0,1.0,0.3333,0.0,1.0,0.3333,0.5,0.5,0.0,0.0,0.0,0.6667,-6.670000000000002,10.0,3.3299999999999983,43,D+,0,High
STU0171,0.6,60.0,46.53,0.7,0.6667,0.375,0.2,0.0,3,0.0,0.0,0.3333,0.5,1.0,0.5,0.5,1.0,1.0,0.3333,1.0,0.6667,1.0,0.5,0.6667,0.5,0.4667,46.67,71.37,0.6,0.3636,0.5,0.2667,0.0,5,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.6667,0.5,0.6333,63.33,71.7,0.6,0.5455,0.7143,0.2,0.0,4,0.0,1.0,0.0,0.5,1.0,0.5,0.3333,1.0,0.0,0.6667,0.0,1.0,1.0,1.0,1.0,0.6667,-13.329999999999998,16.659999999999997,3.3299999999999983,63,B-,1,Medium
STU0172,0.4,40.0,56.87,0.3,0.6667,0.125,0.3,0.0,8,0.0,0.0,0.3333,0.5,0.5,0.0,1.0,0.0,0.0,0.3333,1.0,0.0,0.5,0.0,0.6667,1.0,0.5333,53.33,79.1,0.6,0.7273,0.3571,0.3667,0.0,5,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.3333,1.0,0.0,0.4,40.0,69.03,0.2,0.3636,0.5,0.2667,0.0,7,0.0,1.0,0.5,0.5,0.5,1.0,0.6667,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333,13.329999999999998,-13.329999999999998,0.0,44,D+,0,High
STU0173,0.6667,66.67,42.37,1.0,0.4167,0.625,0.2333,0.0,1,0.0,1.0,0.6667,0.0,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,0.6667,0.5,0.5,0.6667,1.0,0.6667,66.67,74.43,0.4,0.8182,0.6429,0.1333,0.0,2,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.6667,1.0,0.5,0.6,60.0,76.5,0.8,0.5455,0.5714,0.3,0.0,5,0.0,1.0,1.0,1.0,0.0,1.0,0.3333,0.5,0.0,0.3333,0.5,1.0,0.5,1.0,0.0,0.6667,0.0,-6.670000000000002,-6.670000000000002,59,C+,1,Medium
STU0174,0.8,80.0,43.77,0.9,0.8333,0.625,0.1667,0.0,1,0.0,1.0,0.6667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.5,0.7333,73.33,74.93,0.6,0.7273,0.7857,0.1667,0.0,1,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.6667,1.0,0.5,0.7,70.0,73.43,1.0,0.5455,0.7143,0.2,0.0,3,0.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,0.6667,-6.670000000000002,-3.3299999999999983,-10.0,73,B+,1,Low
STU0175,0.9333,93.33,39.6,1.0,1.0,0.75,0.0667,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.7333,73.33,65.6,0.6,0.7273,0.7857,0.1333,0.0,3,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6667,0.5,0.9667,96.67,74.57,1.0,1.0,0.9286,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,-20.0,23.340000000000003,3.3400000000000034,82,A,1,Low
STU0176,0.7667,76.67,41.1,0.9,0.75,0.625,0.1667,0.0,3,0.0,0.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,1.0,1.0,0.5,0.3333,1.0,0.6333,63.33,85.43,0.2,0.9091,0.5714,0.2,0.0,2,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,1.0,0.6667,0.5,0.8667,86.67,69.17,1.0,0.7273,0.9286,0.0667,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.6667,-13.340000000000003,23.340000000000003,10.0,82,A,1,Low
STU0177,0.1333,13.33,65.47,0.1,0.25,0.0,0.4,0.0,12,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.2333,23.33,77.7,0.2,0.2727,0.2143,0.3,0.0,10,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.6667,0.6667,0.0,0.2333,23.33,74.43,0.2,0.3636,0.1429,0.3,0.0,10,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,9.999999999999998,0.0,9.999999999999998,34,E,0,High
STU0178,0.6,60.0,45.3,0.7,0.5833,0.5,0.3,0.0333,3,0.0,0.0,0.6667,0.5,0.0,0.5,1.0,1.0,0.0,0.6667,1.0,1.0,0.5,0.5,0.6667,0.5,0.5333,53.33,67.37,0.4,0.5455,0.5714,0.2,0.0,3,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.6667,0.6667,0.5,0.5667,56.67,76.93,0.6,0.5455,0.5714,0.2667,0.0,3,0.0,0.0,0.5,0.5,0.5,1.0,0.6667,0.5,1.0,0.3333,0.5,1.0,0.5,0.5,0.0,0.6667,-6.670000000000002,3.3400000000000034,-3.3299999999999983,60,B-,1,Medium
STU0179,0.8667,86.67,41.3,1.0,0.9167,0.625,0.1,0.0,1,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.3333,1.0,1.0,0.6667,1.0,0.7,70.0,72.47,0.6,1.0,0.5,0.2333,0.0,3,0.0,0.5,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8667,86.67,74.5,1.0,0.9091,0.7857,0.0667,0.0,0,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,-16.67,16.67,0.0,73,B+,1,Low
STU0180,0.7667,76.67,42.77,0.8,0.8333,0.625,0.1667,0.0,3,0.0,0.0,0.6667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.7,70.0,72.93,0.8,0.7273,0.6429,0.2,0.0,3,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.7333,73.33,67.2,0.8,0.8182,0.6429,0.1667,0.0,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,-6.670000000000002,3.3299999999999983,-3.3400000000000034,83,A,1,Low
STU0181,0.9333,93.33,36.0,1.0,0.9167,0.875,0.0667,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,83.33,69.53,0.6,0.8182,0.9286,0.1,0.0,0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.7333,73.33,70.2,0.8,0.7273,0.7143,0.2,0.0,3,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,-10.0,-10.0,-20.0,86,A+,1,Low
STU0182,0.6,60.0,46.0,0.6,0.8333,0.25,0.2667,0.0,4,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.6667,0.0,0.6667,0.5,0.5,0.6667,1.0,0.7667,76.67,69.9,1.0,0.4545,0.9286,0.1333,0.0,1,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.5,0.6667,0.6667,1.0,0.7,70.0,78.33,0.6,0.7273,0.7143,0.1667,0.0,2,0.0,1.0,0.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.6667,0.5,1.0,0.0,0.5,1.0,0.6667,16.67,-6.670000000000002,10.0,50,C,1,Medium
STU0183,0.3667,36.67,58.4,0.6,0.4167,0.0,0.4,0.0,8,0.0,0.0,0.3333,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.6667,0.0,0.5,0.3333,0.5,0.5,50.0,81.73,0.4,0.5455,0.5,0.2333,0.0,4,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.6667,0.6667,0.0,0.5,50.0,79.3,0.6,0.5455,0.4286,0.3333,0.0,6,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.3333,0.5,0.0,1.0,1.0,0.0,0.6667,13.329999999999998,0.0,13.329999999999998,42,D+,0,High
STU0184,0.9667,96.67,39.8,1.0,0.9167,1.0,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8,80.0,70.23,0.8,0.7273,0.8571,0.1,0.0,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.3333,1.0,0.8333,83.33,65.33,1.0,0.8182,0.7857,0.1333,0.0,2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-16.67,3.3299999999999983,-13.340000000000003,80,A,1,Low
STU0185,0.4,40.0,47.67,0.6,0.4167,0.125,0.3,0.0,8,0.0,0.0,0.3333,0.5,0.0,0.0,0.0,1.0,1.0,0.6667,1.0,0.3333,0.0,1.0,0.3333,0.5,0.5,50.0,79.5,0.2,0.5455,0.5714,0.2667,0.0,4,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.6667,1.0,0.0,0.4,40.0,79.53,0.6,0.4545,0.2857,0.3,0.0,8,0.0,0.0,1.0,0.5,0.5,0.5,0.3333,0.0,0.0,0.3333,0.5,0.5,0.0,1.0,0.0,0.3333,10.0,-10.0,0.0,51,C,1,Medium
STU0186,0.4333,43.33,61.5,0.7,0.25,0.375,0.4,0.0,7,0.0,0.0,0.6667,0.0,0.5,1.0,0.0,1.0,0.0,0.6667,1.0,0.3333,0.5,0.5,0.3333,0.0,0.4333,43.33,77.47,0.4,0.3636,0.5,0.3,0.0,6,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.6667,1.0,0.5667,56.67,70.27,0.4,0.5455,0.6429,0.3,0.0,6,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,0.0,1.0,0.0,13.340000000000003,13.340000000000003,57,C+,1,Medium
STU0187,0.7667,76.67,41.57,0.9,0.9167,0.375,0.2,0.0,2,0.0,0.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.6667,1.0,0.5,1.0,1.0,0.7667,76.67,67.5,0.8,0.8182,0.7143,0.1,0.0,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.6667,0.0,0.7,70.0,72.1,0.8,0.5455,0.7857,0.1333,0.0,1,0.0,1.0,1.0,0.5,0.5,0.5,0.6667,0.0,1.0,0.6667,0.5,1.0,0.5,1.0,1.0,1.0,0.0,-6.670000000000002,-6.670000000000002,62,B-,1,Medium
STU0188,0.5333,53.33,47.53,0.5,0.6667,0.375,0.3,0.0,5,0.0,0.0,0.6667,0.5,1.0,0.5,0.5,0.0,0.0,0.3333,0.0,0.6667,0.5,1.0,0.6667,0.5,0.4333,43.33,70.67,0.6,0.5455,0.2857,0.3,0.0,7,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.3333,0.3333,0.0,0.3333,33.33,76.83,0.2,0.3636,0.3571,0.3667,0.0,7,0.0,0.0,0.0,0.5,0.5,0.5,0.6667,0.5,0.0,0.6667,0.0,0.5,0.0,0.5,0.0,0.0,-10.0,-10.0,-20.0,45,C-,0,High
STU0189,0.9667,96.67,36.9,1.0,1.0,0.875,0.0333,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,90.0,74.33,1.0,0.9091,0.8571,0.0667,0.0,2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,80.37,1.0,1.0,1.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.670000000000002,10.0,3.3299999999999983,83,A,1,Low
STU0190,0.6,60.0,43.6,0.7,0.6667,0.375,0.3,0.0333,4,0.0,1.0,0.6667,1.0,1.0,1.0,0.5,0.0,0.0,0.3333,1.0,0.0,1.0,0.5,0.6667,0.5,0.5,50.0,72.9,0.4,0.4545,0.5714,0.3,0.0,4,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.3333,1.0,0.5667,56.67,76.6,0.8,0.8182,0.2857,0.2667,0.0,3,0.0,1.0,0.5,1.0,0.0,0.0,0.3333,0.5,1.0,0.6667,0.5,1.0,0.5,0.5,1.0,0.6667,-10.0,6.670000000000002,-3.3299999999999983,65,B,1,Low
STU0191,0.5667,56.67,46.5,0.9,0.4167,0.375,0.3333,0.0,5,0.0,1.0,0.3333,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.6667,0.0,1.0,0.3333,0.5,0.4333,43.33,81.1,0.8,0.3636,0.3571,0.4,0.0,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.6667,0.0,0.5,0.3667,36.67,76.87,0.6,0.4545,0.2143,0.3667,0.0,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.3333,0.5,0.5,0.0,0.5,1.0,0.3333,-13.340000000000003,-6.659999999999997,-20.0,48,C-,0,High
STU0192,0.8667,86.67,39.7,0.8,1.0,0.75,0.0667,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.5,0.9,90.0,66.83,0.8,1.0,0.8571,0.0667,0.0,0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.8,80.0,76.97,0.6,0.9091,0.7857,0.0667,0.0,3,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.3333,1.0,1.0,1.0,0.0,1.0,1.0,3.3299999999999983,-10.0,-6.670000000000002,81,A,1,Low
STU0193,0.6,60.0,47.87,0.6,0.75,0.375,0.2333,0.0,6,0.0,0.0,0.3333,0.5,1.0,1.0,0.0,1.0,1.0,0.3333,0.0,0.3333,1.0,1.0,0.6667,1.0,0.5,50.0,75.87,0.2,0.4545,0.6429,0.3,0.0,5,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.7667,76.67,73.7,0.8,0.6364,0.8571,0.1667,0.0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6667,-10.0,26.67,16.67,63,B-,1,Medium
STU0194,0.4,40.0,47.03,0.9,0.25,0.0,0.4333,0.0,8,0.0,0.0,0.3333,0.0,0.5,0.5,0.5,0.0,1.0,0.3333,1.0,0.3333,0.0,1.0,0.3333,0.5,0.4333,43.33,74.03,0.2,0.3636,0.5714,0.3,0.0,7,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.3333,0.6667,0.5,0.3,30.0,67.23,0.4,0.1818,0.3571,0.2667,0.0,10,0.0,0.0,0.5,0.5,0.0,0.5,0.3333,0.0,0.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.3333,3.3299999999999983,-13.329999999999998,-10.0,43,D+,0,High
STU0195,0.3333,33.33,58.57,0.5,0.4167,0.0,0.3333,0.0,10,0.0,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,1.0,0.3333,0.0,0.3333,0.5,1.0,0.3333,0.5,0.3,30.0,72.53,0.6,0.0909,0.3571,0.3333,0.0,8,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.3333,0.0,1.0,0.3333,33.33,77.3,0.8,0.2727,0.2143,0.3333,0.0,7,0.0,1.0,0.5,0.0,0.5,0.0,0.3333,0.0,1.0,0.3333,0.5,0.0,0.5,0.5,1.0,0.0,-3.3299999999999983,3.3299999999999983,0.0,43,D+,0,High
STU0196,0.7333,73.33,43.03,0.8,0.75,0.625,0.2,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6667,1.0,1.0,0.0,0.5,0.6667,0.5,0.7333,73.33,70.97,0.8,0.8182,0.6429,0.1333,0.0,1,0.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.6667,1.0,0.7333,73.33,70.43,0.4,0.8182,0.7857,0.1667,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.6667,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,76,A-,1,Low
