stu_no,q1_accuracy,q1_score_pct,q1_avg_time_sec,q1_easy_accuracy,q1_medium_accuracy,q1_hard_accuracy,q1_slow_wrong_ratio,q1_fast_wrong_ratio,q1_num_topics_below_50pct,q1_weakest_topic_score,q1_topic_Algorithm_Design,q1_topic_Arrays,q1_topic_Code_Tracing,q1_topic_Conditional_Statements,q1_topic_Data_Types,q1_topic_Debugging,q1_topic_Expressions,q1_topic_Flowcharts_and_Algorithms,q1_topic_Functions,q1_topic_Input_and_Output,q1_topic_Loops,q1_topic_Nested_Loops,q1_topic_Operators,q1_topic_Strings,q1_topic_Variables_and_Identifiers,final_mark,final_grade,passed,risk_label
STU0337,0.1333,13.33,73.77,0.4,0.0,0.0,0.5333,0.0,13,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.3333,0.0,43,D+,0,High
STU0338,0.8,80.0,41.07,1.0,0.6667,0.75,0.2,0.0,2,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.6667,1.0,1.0,0.6667,1.0,84,A,1,Low
STU0339,0.8,80.0,40.7,0.9,0.75,0.75,0.1667,0.0,1,0.3333,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333,1.0,0.6667,0.5,1.0,0.6667,1.0,74,B+,1,Low
STU0340,0.6,60.0,43.87,0.9,0.6667,0.125,0.3667,0.0,4,0.0,0.0,0.6667,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.6667,0.0,1.0,0.3333,1.0,59,C+,1,Medium
STU0341,0.9333,93.33,38.1,1.0,0.9167,0.875,0.0667,0.0,0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,92,A+,1,Low
STU0342,0.3,30.0,56.4,0.6,0.25,0.0,0.3667,0.0,8,0.0,0.0,0.6667,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,50,C,1,Medium
STU0343,0.6,60.0,45.5,0.7,0.6667,0.375,0.2667,0.0,5,0.0,0.0,0.3333,0.0,1.0,0.5,1.0,1.0,1.0,0.3333,0.0,0.6667,0.5,1.0,1.0,0.5,62,B-,1,Medium
STU0344,0.5333,53.33,42.23,0.7,0.5833,0.25,0.3,0.0333,5,0.0,0.0,0.3333,0.5,0.5,0.0,0.5,0.0,0.0,0.6667,1.0,0.6667,0.5,0.5,1.0,1.0,53,C,1,Medium
STU0345,0.3333,33.33,58.93,0.6,0.3333,0.0,0.4333,0.0,10,0.0,0.0,0.3333,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.3333,0.0,0.0,0.3333,1.0,31,E,0,High
STU0346,0.3333,33.33,55.53,0.5,0.3333,0.125,0.3667,0.0,8,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.3333,0.5,1.0,0.3333,0.5,47,C-,0,High
STU0347,0.8333,83.33,41.33,1.0,0.75,0.75,0.1667,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.0,1.0,0.6667,1.0,68,B,1,Low
STU0348,0.8,80.0,38.93,1.0,0.6667,0.75,0.2,0.0,2,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.6667,1.0,1.0,0.5,0.5,1.0,1.0,65,B,1,Low
STU0349,0.2,20.0,61.73,0.4,0.0833,0.125,0.5,0.0,11,0.0,1.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.3333,0.0,39,D,0,High
STU0350,0.7667,76.67,42.37,0.9,0.75,0.625,0.1667,0.0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.3333,1.0,66,B,1,Low
STU0351,0.4,40.0,59.93,0.5,0.3333,0.375,0.2,0.0,7,0.0,0.0,0.6667,0.5,1.0,0.0,0.5,1.0,1.0,0.3333,0.0,0.0,0.0,0.5,0.3333,0.5,37,D,0,High
STU0352,0.6333,63.33,44.0,0.6,0.5833,0.75,0.2333,0.0,4,0.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.6667,1.0,0.0,0.5,0.0,1.0,0.5,73,B+,1,Low
STU0353,0.7667,76.67,37.67,1.0,0.75,0.5,0.2333,0.0,2,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.6667,1.0,1.0,0.0,1.0,0.6667,1.0,70,B+,1,Low
STU0354,0.8333,83.33,41.6,1.0,0.9167,0.5,0.1667,0.0,1,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,76,A-,1,Low
STU0355,0.7667,76.67,39.8,0.8,0.75,0.75,0.1667,0.0,4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6667,1.0,0.5,0.3333,1.0,71,B+,1,Low
STU0356,0.8333,83.33,34.87,1.0,0.75,0.75,0.1667,0.0,1,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.6667,1.0,0.6667,0.5,1.0,1.0,1.0,79,A-,1,Low
STU0357,0.8667,86.67,36.5,1.0,0.8333,0.75,0.1,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6667,0.5,78,A-,1,Low
STU0358,0.5333,53.33,43.97,0.6,0.75,0.125,0.3333,0.0,6,0.0,0.0,0.3333,0.0,1.0,0.5,0.5,0.0,1.0,0.6667,0.0,0.3333,0.5,1.0,0.6667,1.0,39,D,0,High
STU0359,0.2667,26.67,56.5,0.4,0.25,0.125,0.4333,0.0,10,0.0,0.0,0.6667,0.5,0.0,0.5,0.0,1.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,0.5,42,D+,0,High
STU0360,0.8667,86.67,42.2,0.9,1.0,0.625,0.1,0.0,1,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,1.0,0.6667,1.0,85,A+,1,Low
STU0361,0.7,70.0,45.57,0.9,0.75,0.375,0.2333,0.0,3,0.0,0.0,0.3333,0.0,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,0.5,64,B-,1,Medium
STU0362,0.4333,43.33,49.03,0.5,0.4167,0.375,0.3333,0.0,7,0.0,0.0,0.3333,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.6667,0.0,0.5,0.3333,0.5,54,C,1,Medium
STU0363,0.7,70.0,41.47,1.0,0.5833,0.5,0.3,0.0,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,0.6667,0.5,1.0,0.6667,0.5,60,B-,1,Medium
STU0364,0.7667,76.67,41.9,0.9,0.75,0.625,0.2,0.0,2,0.0,0.0,0.6667,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.6667,0.5,0.5,1.0,1.0,78,A-,1,Low
STU0365,0.8667,86.67,41.37,1.0,0.75,0.875,0.1333,0.0,1,0.3333,1.0,0.3333,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,81,A,1,Low
STU0366,0.3,30.0,64.83,0.6,0.1667,0.125,0.4,0.0,8,0.0,0.0,0.6667,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.3333,0.0,0.5,0.0,0.5,31,E,0,High
STU0367,0.5333,53.33,46.43,0.5,0.5,0.625,0.2333,0.0,7,0.0,0.0,0.6667,0.5,0.0,1.0,1.0,0.0,0.0,0.6667,1.0,1.0,1.0,0.0,0.3333,0.0,59,C+,1,Medium
STU0368,0.6667,66.67,47.47,0.7,0.5833,0.75,0.2333,0.0,3,0.0,1.0,0.3333,0.0,0.5,1.0,0.5,0.0,1.0,0.6667,1.0,0.6667,1.0,1.0,0.6667,1.0,68,B,1,Low
STU0369,0.7,70.0,39.2,0.8,0.75,0.5,0.2333,0.0,3,0.3333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333,1.0,0.3333,0.5,0.5,0.3333,1.0,76,A-,1,Low
STU0370,0.8333,83.33,40.77,0.9,0.8333,0.75,0.1333,0.0,3,0.0,0.0,0.3333,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84,A,1,Low
STU0371,0.1333,13.33,67.53,0.2,0.1667,0.0,0.4667,0.0,14,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1.0,0.0,0.0,0.0,0.3333,0.0,43,D+,0,High
STU0372,0.6,60.0,50.07,0.8,0.5833,0.375,0.2667,0.0,5,0.0,1.0,0.6667,0.5,1.0,0.5,1.0,0.0,0.0,0.3333,1.0,0.3333,0.0,1.0,0.6667,1.0,75,A-,1,Low
STU0373,0.5333,53.33,42.73,0.6,0.5,0.5,0.3667,0.0,6,0.0,0.0,0.6667,0.5,1.0,1.0,0.5,1.0,0.0,0.6667,1.0,0.3333,1.0,0.0,0.3333,0.0,56,C+,1,Medium
STU0374,0.5333,53.33,46.37,0.7,0.5,0.375,0.3667,0.0,3,0.0,0.0,0.3333,0.5,0.5,0.5,0.0,1.0,1.0,0.6667,1.0,0.6667,0.5,0.5,0.6667,0.5,65,B,1,Low
STU0375,0.5667,56.67,44.03,0.7,0.4167,0.625,0.3,0.0,5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.6667,1.0,0.3333,0.0,1.0,0.3333,0.5,68,B,1,Low
STU0376,0.8333,83.33,41.13,1.0,0.6667,0.875,0.1,0.0333,0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,0.6667,0.5,1.0,1.0,0.5,57,C+,1,Medium
STU0377,0.7667,76.67,41.23,0.9,0.8333,0.5,0.2,0.0,2,0.0,0.0,0.6667,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6667,1.0,87,A+,1,Low
STU0378,0.9,90.0,38.83,1.0,1.0,0.625,0.1,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,1.0,85,A+,1,Low
STU0379,0.9,90.0,39.3,0.9,1.0,0.75,0.0667,0.0,0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.5,97,A+,1,Low
STU0380,0.7,70.0,42.03,0.9,0.5833,0.625,0.2333,0.0,2,0.0,1.0,0.6667,1.0,1.0,1.0,0.0,1.0,1.0,0.6667,1.0,0.0,0.5,1.0,0.6667,1.0,61,B-,1,Medium
STU0381,0.8,80.0,36.7,1.0,0.8333,0.5,0.2,0.0,0,0.5,1.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,1.0,0.5,69,B,1,Low
STU0382,0.7,70.0,41.77,0.8,0.8333,0.375,0.2333,0.0,2,0.0,1.0,0.6667,1.0,0.5,1.0,0.5,1.0,0.0,0.6667,1.0,0.3333,1.0,1.0,0.6667,0.5,70,B+,1,Low
STU0383,0.8333,83.33,41.7,1.0,0.8333,0.625,0.1333,0.0,0,0.5,1.0,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,1.0,0.6667,1.0,73,B+,1,Low
STU0384,0.4333,43.33,48.07,0.6,0.3333,0.375,0.3,0.0,5,0.0,1.0,0.6667,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.6667,0.5,0.5,0.3333,0.5,39,D,0,High
STU0385,0.8667,86.67,37.93,1.0,0.8333,0.75,0.1,0.0,1,0.0,0.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76,A-,1,Low
STU0386,0.9333,93.33,39.27,0.9,1.0,0.875,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,1.0,1.0,98,A+,1,Low
STU0387,0.4667,46.67,50.27,0.5,0.5833,0.25,0.3333,0.0,6,0.0,1.0,0.6667,0.5,1.0,0.0,0.5,0.0,1.0,0.3333,1.0,0.3333,0.5,0.0,0.0,1.0,36,D,0,High
STU0388,0.8333,83.33,42.47,0.9,0.8333,0.75,0.1,0.0,1,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,78,A-,1,Low
STU0389,0.9,90.0,40.43,1.0,1.0,0.625,0.1,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,93,A+,1,Low
STU0390,0.8333,83.33,38.57,0.9,0.9167,0.625,0.1333,0.0,0,0.5,1.0,0.6667,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.6667,1.0,81,A,1,Low
STU0391,0.7,70.0,41.1,0.8,0.5833,0.75,0.2,0.0,3,0.0,1.0,0.3333,0.5,0.5,1.0,0.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.6667,1.0,63,B-,1,Medium
STU0392,0.6667,66.67,43.47,0.7,0.6667,0.625,0.2,0.0,2,0.0,1.0,0.6667,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.6667,0.5,1.0,0.6667,0.5,67,B,1,Low
STU0393,0.6,60.0,43.57,0.8,0.5,0.5,0.2667,0.0,3,0.0,1.0,0.3333,0.5,0.5,0.0,0.5,1.0,0.0,0.6667,1.0,0.6667,0.5,1.0,0.6667,1.0,62,B-,1,Medium
STU0394,0.7333,73.33,42.1,0.9,0.5833,0.75,0.2,0.0,2,0.3333,1.0,0.3333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333,0.5,77,A-,1,Low
STU0395,0.8333,83.33,41.43,0.9,0.75,0.875,0.1333,0.0,2,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6667,1.0,75,A-,1,Low
STU0396,0.8667,86.67,40.17,1.0,1.0,0.5,0.1333,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5,1.0,0.6667,1.0,87,A+,1,Low
STU0397,0.8667,86.67,40.27,1.0,0.9167,0.625,0.1333,0.0,1,0.3333,1.0,0.3333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,80,A,1,Low
STU0398,0.6667,66.67,43.57,0.8,0.6667,0.5,0.2333,0.0,3,0.0,1.0,0.6667,0.5,0.5,1.0,1.0,1.0,0.0,0.3333,0.0,0.6667,0.5,1.0,0.6667,1.0,76,A-,1,Low
STU0399,0.8,80.0,39.4,1.0,0.5833,0.875,0.2,0.0,0,0.5,1.0,0.6667,1.0,0.5,0.5,1.0,1.0,1.0,0.6667,1.0,1.0,0.5,0.5,1.0,1.0,72,B+,1,Low
STU0400,0.4,40.0,48.2,0.5,0.4167,0.25,0.3333,0.0,7,0.0,0.0,0.6667,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.3333,0.0,0.0,0.3333,0.5,37,D,0,High
STU0401,0.6667,66.67,45.8,0.8,0.5833,0.625,0.2333,0.0,1,0.3333,1.0,0.3333,1.0,0.5,0.5,0.5,1.0,1.0,0.6667,1.0,0.6667,0.5,0.5,1.0,0.5,58,C+,1,Medium
STU0402,0.6,60.0,44.27,0.9,0.5,0.375,0.3333,0.0,6,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6667,1.0,0.3333,0.0,1.0,0.6667,1.0,56,C+,1,Medium
STU0403,0.6,60.0,42.33,0.7,0.5,0.625,0.3,0.0,5,0.0,0.0,0.6667,0.0,1.0,0.5,1.0,1.0,0.0,0.6667,0.0,1.0,0.5,0.5,1.0,0.0,47,C-,0,High
STU0404,0.5333,53.33,50.43,0.7,0.5833,0.25,0.3333,0.0,4,0.0,1.0,0.3333,0.5,1.0,0.0,0.5,1.0,0.0,0.6667,1.0,0.6667,0.5,0.5,0.3333,0.5,64,B-,1,Medium
STU0405,0.9333,93.33,37.73,1.0,0.9167,0.875,0.0667,0.0,0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85,A+,1,Low
STU0406,0.4333,43.33,63.2,0.6,0.4167,0.25,0.3333,0.0,7,0.0,0.0,0.3333,0.5,0.5,0.0,0.0,1.0,0.0,0.6667,0.0,0.3333,0.5,1.0,0.6667,0.5,52,C,1,Medium
STU0407,0.5,50.0,47.53,0.9,0.3333,0.25,0.3667,0.0,5,0.0,0.0,0.3333,0.5,0.5,0.5,0.5,1.0,1.0,0.3333,0.0,0.6667,1.0,0.5,0.3333,0.5,41,D+,0,High
STU0408,0.5333,53.33,44.3,0.7,0.3333,0.625,0.3,0.0,3,0.0,1.0,0.6667,0.5,0.5,0.0,0.5,1.0,0.0,0.6667,0.0,0.6667,0.5,0.5,0.6667,0.5,46,C-,0,High
STU0409,0.6,60.0,48.1,0.8,0.5833,0.375,0.2667,0.0,3,0.0,1.0,0.6667,1.0,1.0,0.5,0.5,0.0,0.0,0.6667,1.0,0.0,0.5,1.0,0.6667,0.5,57,C+,1,Medium
STU0410,0.4,40.0,58.07,0.9,0.1667,0.125,0.5,0.0,8,0.0,0.0,0.6667,0.0,0.5,0.0,0.0,1.0,0.0,0.3333,1.0,0.3333,1.0,0.5,0.3333,0.5,42,D+,0,High
STU0411,0.7333,73.33,42.8,0.9,0.6667,0.625,0.2,0.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.3333,1.0,1.0,0.5,0.5,0.6667,0.5,73,B+,1,Low
STU0412,0.9,90.0,35.53,1.0,0.8333,0.875,0.1,0.0,1,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.6667,1.0,75,A-,1,Low
STU0413,0.9667,96.67,37.33,1.0,0.9167,1.0,0.0,0.0,0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75,A-,1,Low
STU0414,0.9,90.0,40.93,1.0,1.0,0.625,0.0667,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,85,A+,1,Low
STU0415,0.7333,73.33,44.93,1.0,0.6667,0.5,0.2667,0.0,2,0.0,1.0,0.3333,0.5,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,1.0,0.0,0.5,1.0,1.0,89,A+,1,Low
STU0416,0.8,80.0,43.23,1.0,0.75,0.625,0.2,0.0,2,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.0,0.6667,1.0,1.0,0.0,1.0,1.0,1.0,73,B+,1,Low
STU0417,0.6,60.0,42.6,0.8,0.5,0.5,0.3,0.0,4,0.0,0.0,0.6667,0.5,1.0,0.0,0.5,1.0,1.0,0.6667,1.0,1.0,0.0,1.0,0.3333,0.5,54,C,1,Medium
STU0418,0.8333,83.33,41.2,1.0,0.8333,0.625,0.1333,0.0,1,0.3333,1.0,0.3333,1.0,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,72,B+,1,Low
STU0419,0.3667,36.67,52.53,0.5,0.4167,0.125,0.3,0.0,7,0.0,0.0,0.6667,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.3333,0.0,0.5,0.3333,0.0,49,C-,0,High
STU0420,0.2333,23.33,70.93,0.6,0.0,0.125,0.4,0.0,11,0.0,0.0,0.3333,0.0,0.5,0.0,0.0,1.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,0.5,28,E,0,High
STU0421,0.7667,76.67,37.63,0.9,0.75,0.625,0.1667,0.0,0,0.5,1.0,0.6667,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,0.6667,0.5,75,A-,1,Low
STU0422,0.4333,43.33,54.73,0.6,0.5,0.125,0.3667,0.0,7,0.0,1.0,0.3333,0.0,0.5,0.5,0.0,0.0,0.0,0.6667,1.0,0.3333,0.5,1.0,0.6667,0.0,45,C-,0,High
STU0423,0.4333,43.33,48.83,0.8,0.3333,0.125,0.4333,0.0,5,0.0,1.0,0.3333,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.3333,0.5,0.0,0.6667,0.5,40,D+,0,High
STU0424,0.5667,56.67,45.57,0.4,0.6667,0.625,0.2333,0.0,4,0.0,1.0,0.3333,1.0,0.5,0.0,1.0,1.0,0.0,0.3333,1.0,0.6667,0.5,0.5,0.6667,0.5,65,B,1,Low
STU0425,0.8667,86.67,38.87,1.0,0.8333,0.75,0.1333,0.0,0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,0.6667,1.0,86,A+,1,Low
STU0426,0.9667,96.67,36.0,1.0,0.9167,1.0,0.0333,0.0,0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,83,A,1,Low
STU0427,0.5667,56.67,45.57,0.6,0.75,0.25,0.3,0.0,7,0.0,0.0,0.3333,0.0,1.0,0.5,1.0,1.0,0.0,0.3333,0.0,0.3333,0.5,1.0,1.0,1.0,57,C+,1,Medium
STU0428,0.9,90.0,36.4,1.0,1.0,0.625,0.1,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,85,A+,1,Low
STU0429,0.9667,96.67,41.73,1.0,1.0,0.875,0.0333,0.0,0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88,A+,1,Low
STU0430,0.6667,66.67,39.5,1.0,0.4167,0.625,0.2667,0.0,3,0.0,1.0,0.6667,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.6667,0.0,0.5,0.6667,1.0,62,B-,1,Medium
STU0431,0.8,80.0,40.23,1.0,0.6667,0.75,0.2,0.0,0,0.5,1.0,0.6667,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6667,0.5,55,C+,1,Medium
STU0432,0.3,30.0,58.33,0.4,0.3333,0.125,0.4333,0.0,9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.5,0.5,0.6667,1.0,27,E,0,High
STU0433,0.4333,43.33,49.17,0.5,0.5,0.25,0.3667,0.0,6,0.0,0.0,0.6667,0.0,0.5,0.5,0.0,1.0,1.0,0.6667,1.0,0.6667,0.0,0.5,0.3333,0.0,52,C,1,Medium
STU0434,0.8667,86.67,40.63,0.9,1.0,0.625,0.1,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.6667,0.5,1.0,1.0,1.0,71,B+,1,Low
STU0435,0.9667,96.67,37.2,1.0,0.9167,1.0,0.0333,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85,A+,1,Low
STU0436,0.7,70.0,37.23,0.9,0.5833,0.625,0.2,0.0,1,0.0,1.0,0.6667,0.5,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,0.6667,0.5,0.5,0.6667,0.5,73,B+,1,Low
STU0437,0.2,20.0,66.63,0.5,0.0833,0.0,0.5333,0.0,10,0.0,0.0,0.3333,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,41,D+,0,High
STU0438,0.7667,76.67,41.9,0.9,0.75,0.625,0.2,0.0,1,0.0,1.0,0.6667,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.5,58,C+,1,Medium
STU0439,0.2333,23.33,63.77,0.4,0.25,0.0,0.4333,0.0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.3333,0.0,0.0,0.0,1.0,0.0,0.5,32,E,0,High
STU0440,0.6333,63.33,44.7,1.0,0.5,0.375,0.3333,0.0,3,0.0,1.0,0.6667,0.5,0.5,0.5,0.0,1.0,1.0,0.3333,1.0,1.0,0.0,1.0,1.0,0.5,62,B-,1,Medium
STU0441,0.5667,56.67,40.97,0.7,0.5,0.5,0.3,0.0333,5,0.0,0.0,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.6667,0.0,0.6667,0.5,0.5,0.6667,0.5,64,B-,1,Medium
STU0442,0.7333,73.33,42.37,0.7,0.9167,0.5,0.1667,0.0,2,0.0,1.0,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333,0.5,0.5,0.6667,1.0,75,A-,1,Low
STU0443,0.2333,23.33,61.67,0.4,0.1667,0.125,0.5,0.0,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,32,E,0,High
STU0444,0.6333,63.33,40.07,0.9,0.5,0.5,0.2667,0.0,4,0.0,0.0,0.6667,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.3333,1.0,0.5,0.6667,1.0,63,B-,1,Medium
STU0445,0.8333,83.33,44.6,0.9,0.8333,0.75,0.1333,0.0,0,0.5,1.0,0.6667,0.5,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,0.5,81,A,1,Low
STU0446,0.3667,36.67,53.43,0.5,0.4167,0.125,0.4,0.0,9,0.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,0.3333,0.0,0.3333,0.0,0.5,0.3333,0.0,43,D+,0,High
STU0447,0.7,70.0,45.7,0.9,0.6667,0.5,0.2,0.0,2,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.6667,1.0,0.6667,0.5,0.0,0.6667,1.0,72,B+,1,Low
STU0448,0.7333,73.33,36.5,0.9,0.6667,0.625,0.2333,0.0,2,0.0,1.0,0.6667,0.5,1.0,1.0,0.0,1.0,1.0,0.6667,1.0,1.0,0.5,0.0,1.0,1.0,71,B+,1,Low
STU0449,0.4333,43.33,50.43,0.6,0.5,0.125,0.4,0.0,6,0.0,1.0,0.3333,0.5,0.0,0.0,0.5,1.0,1.0,0.3333,1.0,0.3333,0.5,1.0,0.0,0.5,43,D+,0,High
STU0450,0.8667,86.67,43.07,0.9,0.8333,0.875,0.1,0.0,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6667,1.0,1.0,1.0,1.0,0.6667,1.0,75,A-,1,Low
STU0451,0.2333,23.33,61.07,0.3,0.3333,0.0,0.4333,0.0,10,0.0,0.0,0.3333,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333,0.5,38,D,0,High
STU0452,0.7,70.0,42.9,0.9,0.75,0.375,0.2667,0.0,2,0.0,0.0,0.6667,0.5,1.0,0.5,0.5,1.0,1.0,0.6667,1.0,1.0,0.0,0.5,1.0,1.0,65,B,1,Low
